iter	Logloss
0	0.6639141314
1	0.6349655641
2	0.6086825231
3	0.5832475679
4	0.5667599909
5	0.5514533839
6	0.5385173099
7	0.524582223
8	0.5134857352
9	0.5043118259
10	0.494186346
11	0.4861570452
12	0.4793534323
13	0.4709912507
14	0.4639887818
15	0.4585395367
16	0.450963689
17	0.4438446419
18	0.4388569541
19	0.4332519807
20	0.4296221432
21	0.4262775721
22	0.4211956578
23	0.4158881098
24	0.4118583566
25	0.407647235
26	0.4045022451
27	0.4009298382
28	0.3943664024
29	0.3908304702
30	0.3874594663
31	0.3836465077
32	0.38116097
33	0.3780946967
34	0.3744496503
35	0.371911449
36	0.3679684414
37	0.3627032037
38	0.3595236616
39	0.3572556405
40	0.3537842984
41	0.351379351
42	0.3477908987
43	0.3447607928
44	0.3428811647
45	0.3408296179
46	0.3390092213
47	0.3373755518
48	0.3347109071
49	0.3323678139
50	0.3308341896
51	0.3294531633
52	0.32524218
53	0.323188355
54	0.3197342419
55	0.3173059071
56	0.3144643035
57	0.3126642751
58	0.3101902213
59	0.3081269469
60	0.3061133038
61	0.3030609502
62	0.3013827
63	0.2994279261
64	0.2965519987
65	0.2950772243
66	0.2933573253
67	0.2905384227
68	0.2865921938
69	0.2850095662
70	0.2836593574
71	0.282611905
72	0.2823913382
73	0.2792691407
74	0.2789816343
75	0.276375875	076	0.274662376	077	0.272892977	078	0.270821778	079	0.269113336
80	0.2676163619
81	0.2660957201
82	0.2637332152
83	0.262345713
84	0.260435632
85	0.2592076809
86	0.2577666337
87	0.2565408119
88	0.2541741655
89	0.2520688574
90	0.248632575
91	0.2464318563
92	0.2443201014
93	0.2414555931
94	0.2393519812
95	0.2366308416
96	0.2336641744
97	0.2319473138
98	0.2301392003
99	0.2283655088
.2260373726
