iter	Passed	Remaining
0	1	136
1	2	127
2	3	107
3	4	96
4	4	93
5	5	89
6	6	86
7	7	84
8	8	82
9	8	80
10	9	78
11	10	78
12	11	78
13	12	77
14	13	76
15	14	76
16	15	75
17	16	74
18	17	74
19	18	74
20	19	73
21	20	71
22	21	70
23	21	69
24	22	68
25	23	66
26	24	65
27	25	64
28	25	63
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	67	15
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	86	0

99	88	0
